Symbol,Timestamp,Open,High,Low,Close,Volume,VWAP
GOOGL,2022-08-11 04:00:00 UTC,121.28,121.49,118.56,118.84,27805422,119.660936
GOOGL,2022-08-12 04:00:00 UTC,120.26,121.68,119.46,121.68,22129814,120.96153
GOOGL,2022-08-15 04:00:00 UTC,121.13,122.3,120.61,122.08,21607528,121.733999
GOOGL,2022-08-16 04:00:00 UTC,121.52,122.43,120.64,121.7,20858130,121.619267
GOOGL,2022-08-17 04:00:00 UTC,120.12,121.29,119.38,119.55,25183861,119.969806
GOOGL,2022-08-18 04:00:00 UTC,119.43,120.82,118.72,120.17,19884574,120.062328
GOOGL,2022-08-19 04:00:00 UTC,119.06,119.15,116.76,117.21,25301411,117.712431
GOOGL,2022-08-22 04:00:00 UTC,115.2,115.63,113.85,114.24,24027670,114.46941
GOOGL,2022-08-23 04:00:00 UTC,113.475,115.01,113.43,113.86,17428811,114.087587
GOOGL,2022-08-24 04:00:00 UTC,113.5,114.78,112.8701,113.69,20366310,113.854168
GOOGL,2022-08-25 04:00:00 UTC,114.235,116.72,114.11,116.65,19294089,115.847827
GOOGL,2022-08-26 04:00:00 UTC,114.72,115.12,110.19,110.34,41924173,111.678081
GOOGL,2022-08-29 04:00:00 UTC,109.99,110.95,108.8,109.42,23672071,109.786008
GOOGL,2022-08-30 04:00:00 UTC,110.17,110.5,107.8,108.94,29524230,108.885209
GOOGL,2022-08-31 04:00:00 UTC,110.65,110.85,108.13,108.22,34146633,108.951413
GOOGL,2022-09-01 04:00:00 UTC,108.28,110.445,107.36,109.74,30742133,108.890576
GOOGL,2022-09-02 04:00:00 UTC,110.59,110.74,107.26,107.85,27113086,108.788439
GOOGL,2022-09-06 04:00:00 UTC,107.3,108.03,105.78,106.81,28307028,106.83199
GOOGL,2022-09-07 04:00:00 UTC,107.06,109.98,106.9,109.45,25753761,108.751208
GOOGL,2022-09-08 04:00:00 UTC,108.04,109.6,107.16,108.38,28509231,108.337317
GOOGL,2022-09-09 04:00:00 UTC,109.065,110.99,109.02,110.65,25659493,110.339252
GOOGL,2022-09-12 04:00:00 UTC,110.99,111.62,109.93,110.86,25972454,110.77631
GOOGL,2022-09-13 04:00:00 UTC,107.8,108.3,104.09,104.32,43583934,105.279897
GOOGL,2022-09-14 04:00:00 UTC,104.57,105.275,103.66,105,28934935,104.606068
GOOGL,2022-09-15 04:00:00 UTC,104.03,105.27,102.35,102.91,37244013,103.326912
GOOGL,2022-09-16 04:00:00 UTC,102.07,103.13,100.94,102.8,53203465,102.341214
GOOGL,2022-09-19 04:00:00 UTC,101.75,103.33,101.55,103.07,25775773,102.485423
GOOGL,2022-09-20 04:00:00 UTC,102.08,102.37,100.52,101.14,28875139,101.433948
GOOGL,2022-09-21 04:00:00 UTC,101.67,102.88,99.27,99.28,34306607,100.690189
GOOGL,2022-09-22 04:00:00 UTC,98.82,101.24,98.79,100.14,37262344,100.132299
GOOGL,2022-09-23 04:00:00 UTC,99.63,99.66,97.47,98.74,34662361,98.570466
GOOGL,2022-09-26 04:00:00 UTC,98.1,99.88,97.8,98.17,30488406,98.526766
GOOGL,2022-09-27 04:00:00 UTC,99.43,100,96.872,97.5,33881999,97.986239
GOOGL,2022-09-28 04:00:00 UTC,97.65,100.7,97.11,100.05,38450481,99.346594
GOOGL,2022-09-29 04:00:00 UTC,98.64,98.64,95.96,97.42,34465626,97.003109
GOOGL,2022-09-30 04:00:00 UTC,97.05,98.9,95.56,95.65,38658253,96.547156
GOOGL,2022-10-03 04:00:00 UTC,96.76,99.2872,96.521,98.64,32307159,98.274656
GOOGL,2022-10-04 04:00:00 UTC,100.44,101.84,100.38,101.64,32218531,101.358835
GOOGL,2022-10-05 04:00:00 UTC,99.825,101.93,98.8,101.43,24336444,100.499565
GOOGL,2022-10-06 04:00:00 UTC,100.68,102.9254,100.59,101.42,24177386,101.628155
GOOGL,2022-10-07 04:00:00 UTC,99.85,100.53,98.295,98.68,32496297,98.96882
GOOGL,2022-10-10 04:00:00 UTC,99,99.095,97.01,97.86,20487247,97.976699
GOOGL,2022-10-11 04:00:00 UTC,97.43,99.245,96.31,97.18,29442497,97.576048
GOOGL,2022-10-12 04:00:00 UTC,97.3,98.75,96.735,97.56,24937257,97.70688
GOOGL,2022-10-13 04:00:00 UTC,95.15,99.775,94.3836,99.06,37849768,97.755636
GOOGL,2022-10-14 04:00:00 UTC,99.99,100.69,96.37,96.56,28861890,97.351238
GOOGL,2022-10-17 04:00:00 UTC,98.86,100.93,98.83,99.97,32761327,100.080005
GOOGL,2022-10-18 04:00:00 UTC,103.13,103.47,99.97,100.77,26130751,101.120624
