symbol,date,open,high,low,close,volume,ema,atr,bb_middle,bb_upper,bb_lower,bb_width,volatility,obv,macd_12_26,macd_signal_12_26_9
MSFT,2022-08-15 04:00:00 UTC,291.0,294.18,290.11,,20584359.0,NaN,NaN,,0.0,0.0,NaN,NaN,20584359.0,NaN,NaN
MSFT,2022-08-16 04:00:00 UTC,291.99,294.04,290.42,,20159545.0,NaN,NaN,,0.0,0.0,NaN,NaN,424814.0,NaN,NaN
MSFT,2022-08-17 04:00:00 UTC,289.74,293.35,289.47,,20918383.0,NaN,NaN,,0.0,0.0,NaN,NaN,-20493569.0,NaN,NaN
MSFT,2022-08-18 04:00:00 UTC,290.189,291.91,289.08,,19353717.0,NaN,NaN,,0.0,0.0,NaN,NaN,-39847286.0,NaN,NaN
MSFT,2022-08-19 04:00:00 UTC,288.9,289.25,285.56,,25241918.0,NaN,NaN,,0.0,0.0,NaN,NaN,-65089204.0,NaN,NaN
MSFT,2022-08-22 04:00:00 UTC,282.08,282.46,277.22,,28900691.0,NaN,NaN,,0.0,0.0,NaN,NaN,-93989895.0,NaN,NaN
MSFT,2022-08-23 04:00:00 UTC,276.44,278.86,275.4,,19364552.0,NaN,NaN,,0.0,0.0,NaN,NaN,-113354447.0,NaN,NaN
MSFT,2022-08-24 04:00:00 UTC,275.41,277.23,275.11,,20931476.0,NaN,NaN,,0.0,0.0,NaN,NaN,-134285923.0,NaN,NaN
MSFT,2022-08-25 04:00:00 UTC,277.33,279.02,274.52,,19007754.0,NaN,NaN,,0.0,0.0,NaN,NaN,-115278169.0,NaN,NaN
MSFT,2022-08-26 04:00:00 UTC,279.08,280.34,267.98,,33875400.0,NaN,NaN,,0.0,0.0,NaN,NaN,-149153569.0,NaN,NaN
MSFT,2022-08-29 04:00:00 UTC,265.85,267.4,263.85,,22831112.0,NaN,NaN,,0.0,0.0,NaN,NaN,-171984681.0,NaN,NaN
MSFT,2022-08-30 04:00:00 UTC,266.67,267.05,260.66,,25799495.0,NaN,NaN,,0.0,0.0,NaN,NaN,-197784176.0,NaN,NaN
MSFT,2022-08-31 04:00:00 UTC,265.39,267.11,261.33,,29645255.0,NaN,NaN,,0.0,0.0,NaN,NaN,-227429431.0,NaN,NaN
MSFT,2022-09-01 04:00:00 UTC,258.87,260.89,255.41,,26127281.0,NaN,5.203571428571428,,0.0,0.0,NaN,1.9982993197278913,-253556712.0,NaN,NaN
MSFT,2022-09-02 04:00:00 UTC,261.695,264.74,254.47,,26192064.0,NaN,5.56545918367347,,0.0,0.0,NaN,2.1734980800099466,-279748776.0,NaN,NaN
MSFT,2022-09-06 04:00:00 UTC,256.2,257.83,251.94,,23801954.0,NaN,5.588640670553936,,0.0,0.0,NaN,2.206768280574111,-303550730.0,NaN,NaN
MSFT,2022-09-07 04:00:00 UTC,254.7,258.83,253.22,,27762263.0,NaN,5.590166336942938,,0.0,0.0,NaN,2.1659755654782975,-275788467.0,NaN,NaN
MSFT,2022-09-08 04:00:00 UTC,257.51,260.43,254.79,,23625347.0,NaN,5.593725884304158,,0.0,0.0,NaN,2.163749761838217,-252163120.0,NaN,NaN
MSFT,2022-09-09 04:00:00 UTC,260.5,265.23,260.29,,25446660.0,NaN,5.673459749711006,,0.0,0.0,NaN,2.1452997616694423,-226716460.0,NaN,NaN
MSFT,2022-09-12 04:00:00 UTC,265.78,267.45,265.16,271.892,22170177.0,271.89200000000005,5.481784053303079,271.892,298.49532278415415,245.2886772158458,0.19569036811788632,2.055797507332863,-204546283.0,NaN,NaN
MSFT,2022-09-13 04:00:00 UTC,258.84,260.4,251.59,269.818,40011911.0,269.9965714285715,6.16594233521,269.818,295.79855839925006,243.83744160074994,0.1925783928370239,2.4468996131632204,-244558194.0,NaN,NaN
MSFT,2022-09-14 04:00:00 UTC,253.53,254.23,249.86,267.7935,27571498.0,268.3035646258504,6.037660739837855,267.7935,292.54435816694036,243.0426418330596,0.184850328084441,2.393807287224588,-216986696.0,NaN,NaN
MSFT,2022-09-15 04:00:00 UTC,249.77,251.4,244.02,265.4965,35569718.0,266.12036799481706,6.192113544135149,265.4965,289.57190022075383,241.42109977924622,0.1813613378764225,2.5234793154027018,-252556414.0,NaN,NaN
MSFT,2022-09-16 04:00:00 UTC,244.26,245.3,242.0627,263.225,51569173.0,264.08414247150114,5.986769719554067,263.225,286.03808350371264,240.4119164962874,0.1733352341435093,2.4461754186295934,-304125587.0,NaN,NaN
MSFT,2022-09-19 04:00:00 UTC,242.465,245.14,240.85,261.1435,30174633.0,262.22089080754864,5.865571882443062,261.1435,282.71220664448344,239.5747933555166,0.1651866245530402,2.3988106831519147,-334300220.0,NaN,NaN
