Timestamp,Open,High,Low,Close,Volume,VWAP
2022-08-22 04:00:00 UTC,875.74,877.2,858.89,869.74,19135811,867.339752
2022-08-23 04:00:00 UTC,874.36,896.4799,863.77,889.36,21764092,884.620781
2022-08-24 04:00:00 UTC,892.69,910.94,889.5,891.29,19556429,900.255401
2022-08-25 04:00:00 UTC,302.36,302.96,291.6,296.07,54671112,295.260117
2022-08-26 04:00:00 UTC,297.43,302,287.47,288.09,59257066,292.508688
2022-08-29 04:00:00 UTC,282.83,287.74,280.7,284.82,43730113,284.465245
2022-08-30 04:00:00 UTC,287.865,288.48,272.65,277.7,51825894,279.248793
2022-08-31 04:00:00 UTC,280.62,281.25,271.81,275.61,56092315,276.330944
2022-09-01 04:00:00 UTC,272.575,277.58,266.15,277.16,55804836,271.481185
2022-09-02 04:00:00 UTC,281.065,282.35,269.08,270.21,52523745,274.323217
2022-09-06 04:00:00 UTC,272.675,275.99,265.74,274.42,57451023,272.196879
2022-09-07 04:00:00 UTC,273.1,283.84,272.27,283.7,52170102,280.093708
2022-09-08 04:00:00 UTC,281.3,289.5,279.76,289.26,55399153,286.202628
2022-09-09 04:00:00 UTC,291.67,299.85,291.245,299.68,56082207,297.419463
2022-09-12 04:00:00 UTC,300.72,305.49,300.4,304.42,50396267,303.652347
2022-09-13 04:00:00 UTC,292.9,297.3999,290.4,292.13,70982158,293.635054
2022-09-14 04:00:00 UTC,292.24,306,291.64,302.61,74235471,300.684484
2022-09-15 04:00:00 UTC,301.825,309.12,300.7247,303.75,66398343,304.908427
2022-09-16 04:00:00 UTC,299.605,303.71,295.6005,303.35,112306933,301.288707
2022-09-19 04:00:00 UTC,300.09,309.84,297.8,309.07,61634470,306.413596
2022-09-20 04:00:00 UTC,306.91,313.33,305.58,308.73,62988711,309.324663
2022-09-21 04:00:00 UTC,308.29,313.8,300.63,300.8,64435337,307.469093
2022-09-22 04:00:00 UTC,299.86,301.29,285.82,288.59,72000682,291.367469
2022-09-23 04:00:00 UTC,283.09,284.5,272.82,275.33,65490085,276.541874
2022-09-26 04:00:00 UTC,271.83,284.09,270.31,276.01,59843049,278.249835
2022-09-27 04:00:00 UTC,283.84,288.67,277.51,282.94,63622379,283.465199
2022-09-28 04:00:00 UTC,283.08,289,277.57,287.81,57570596,283.889448
2022-09-29 04:00:00 UTC,282.76,283.65,265.78,268.21,79669023,271.100311
2022-09-30 04:00:00 UTC,266.145,275.57,262.47,265.25,70442182,268.886833
2022-10-03 04:00:00 UTC,254.5,255.16,241.01,242.4,101048630,245.014052
2022-10-04 04:00:00 UTC,250.52,257.5,242.01,249.44,112007508,249.665823
2022-10-05 04:00:00 UTC,245.01,246.6697,233.27,240.81,88914813,238.478773
2022-10-06 04:00:00 UTC,239.44,244.58,235.35,238.13,70719650,239.404162
2022-10-07 04:00:00 UTC,233.935,234.5715,222.02,223.07,85634482,226.184648
2022-10-10 04:00:00 UTC,223.93,226.99,218.3582,222.96,69326571,223.506947
2022-10-11 04:00:00 UTC,220.945,225.75,215,216.5,78495707,220.69994
2022-10-12 04:00:00 UTC,215.33,219.2999,211.51,217.24,68676010,215.597611
2022-10-13 04:00:00 UTC,208.3,222.99,206.22,221.72,94549943,215.657576
2022-10-14 04:00:00 UTC,224.01,226.26,204.16,204.99,96221753,211.449275
2022-10-17 04:00:00 UTC,210.04,221.86,209.45,219.35,82997077,217.723871
2022-10-18 04:00:00 UTC,229.5,229.82,217.25,220.19,77228084,221.409368
2022-10-19 04:00:00 UTC,219.8,222.93,217.78,222.04,68150056,220.957198
2022-10-20 04:00:00 UTC,208.28,215.55,202,207.28,120301645,208.585358
2022-10-21 04:00:00 UTC,206.415,214.66,203.8,214.44,78476531,210.454782
2022-10-24 04:00:00 UTC,205.82,213.5,198.5863,211.25,102608679,205.752442
2022-10-25 04:00:00 UTC,210.1,224.3498,210,222.415,98376534,220.141257
